place_id,name,address
ChIJm-f5em5y5okRSRBHfgoT6SA,Dime Bank Corporate,"290 Salem Turnpike, Norwich, CT 06360, United States"
ChIJ9bJhhWFx5okRDETnmRadywY,Dime Bank Broadway,"33 Broadway, Norwich, CT 06360, United States"
ChIJlcLR7FwO5okRsJWgRUdDHzE,Dime Bank New London,"668 Bank St, New London, CT 06320, United States"
ChIJC66bpRUR5okRZjJzgmmLF80,Dime Bank East Lyme,"18 Chesterfield Rd, East Lyme, CT 06333, United States"
ChIJEUpXy8505okR7LKLUld1GlY,Dime Bank Ledyard,"744 Colonel Ledyard Hwy, Ledyard, CT 06339, United States"
ChIJKywB82Fx5okRpHZ4FJGOQWU,Dime Bank Norwichtown,"115 W Town St, Norwich, CT 06360, United States"
ChIJQZ-nMYxX5okR4-2QufwG5Mc,Dime Bank Manchester,"299 Middle Turnpike W, Manchester, CT 06040, United States"
ChIJ33XDX_1p5okRSikH6lVmSDw,Dime Bank Colchester,"139 S Main St, Colchester, CT 06415, United States"
ChIJyWOKqhb35okReRWu1gOhtqU,Dime Bank Vernon,"135 Talcottville Rd, Vernon, CT 06066, United States"
ChIJkTG83sxw5okRRSMQKFpkHkQ,Dime Bank Taftville,"630 Norwich Ave, Taftville, CT 06380, United States"
ChIJHTeXYAsO5okRXFfhYOvF6Sw,Dime Bank Glastonbury,"1009 Hebron Ave, Glastonbury, CT 06033, United States"
ChIJlyTP5C8N5okRUobZ2KBMDbo,Dime Bank Montville,"563 Norwich-New London Turnpike, Montville, CT 06382, United States"
ChIJp5obaC3i5YkRIm_NF2bhO3A,Dime Bank Stonington,"4 Cannon Square, Stonington, CT 06378, United States"
ChIJsYIxEnYK5okRB6KIijzesFA,Dime Bank,"55 Coogan Blvd, Mystic, CT 06355, United States"
ChIJbyOkJ25x5okRgXLPaAOjnHc,Dime Bank,"305 Broadway, Norwich, CT 06360, United States"
ChIJ-8ZbYXNx5okRrkINvwYQuXM,Dime Bank,"326 Washington St, Norwich, CT 06360, United States"
ChIJuxSCsvjm5YkRXN5HhTz1KBk,Dime Bank Westerly,"131 Franklin St, Westerly, RI 02891, United States"
