place_id,name,address
ChIJX6EOYTTj54kRvSrUOF7n1iw,Newtown Savings Bank - Newtown,"Plaza South, 274 S Main St, Newtown, CT 06470, United States"
ChIJeS-BfEL754kRp47FkrXFUa0,Newtown Savings Bank - Newtown Office,"32 Church Hill Rd, Newtown, CT 06470, United States"
ChIJ8X-gmJfn54kRDLWnmMvCFHs,Newtown Savings Bank - Oxford,"280 Oxford Rd, Oxford, CT 06478, United States"
ChIJVfZFXX_l54kR0hChhaa2uVA,Newtown Savings Bank - Southbury,"685 Main St S, Southbury, CT 06488, United States"
ChIJk4xfmkMJ6IkRr8hp3Ezk7GI,Newtown Savings Bank - Trumbull,"926 White Plains Rd, Trumbull, CT 06611, United States"
ChIJATeWzJ_u54kR-CE4Obgk5Kc,Newtown Savings Bank - Woodbury,"238 Main St S, Woodbury, CT 06798, United States"
ChIJrWgnQHT_54kR2cqpqRSZBC0,Newtown Savings Bank - Danbury,"30 Main St, Danbury, CT 06810, United States"
ChIJr62exFL554kRC_bi_-ZF7J0,Newtown Savings Bank - Bethel - Stony Hill,"68 Stony Hill Rd, Bethel, CT 06801, United States"
ChIJ2wgE8lL-54kRog2hDdcNBm0,Newtown Savings Bank - Bethel: Dolan Plaza,"211 Greenwood Ave, Bethel, CT 06801, United States"
ChIJx6UotvAK6IkRbIJVHkBswsk,Newtown Savings Bank - Shelton: Bridgeport Ave,"815 Bridgeport Ave, Shelton, CT 06484, United States"
ChIJqW9Vzdf454kRwwW32ORmncA,Newtown Savings Bank - Brookfield,"Candlewood Plaza Shopping Center, 14 Candlewood Lake Rd, Brookfield, CT 06804, United States"
ChIJZRYhLhwP6IkRxHftKgignh0,Newtown Savings Bank - Bridgeport,"112 Boston Ave, Bridgeport, CT 06610, United States"
ChIJgaGEO6_i54kRn4W94_f2cCM,Newtown Savings Bank - Monroe: Clock Tower Square,"477 Main St, Monroe, CT 06468, United States"
ChIJvagq4XHi54kRpeQeoYH88sY,Newtown Savings Bank - Monroe - Century Plaza,"535 Monroe Turnpike, Monroe, CT 06468, United States"
ChIJie5AZKzh54kRdGxzb5Ih5oA,Newtown Savings Bank - Shelton: White Hills,"194 Leavenworth Rd, Shelton, CT 06484, United States"
ChIJizSFpG_754kRvTl2GRKPbGY,Newtown Savings Bank - Corporate Office ATM,"39 Main St, Newtown, CT 06470, United States"
ChIJm5BBSYDa54kRhXtCcIKHX18,Newtown Savings Bank - New Haven Regional Lending Center,"2321 Whitney Ave, Hamden, CT 06518, United States"
