datetime,author_title,review_text,review_rating,File Name,Bank Name
12/27/2023 17:35:25,jimkelly02 214389,"Brenda Alcantara (client services specialist) helped me set up a 529 account for my daughter.  i was having some issues setting up the Fidelity account on my own and she was absolutely wonderful at navigating the process quickly.  I highly, highly recommend her.  I couldn’t have asked for a better experience with NSB.  It far exceeded not only my expectations but what i thought was a possibility.",5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
07/10/2021 16:09:31,Payam Moein,the agent I was assigned to for my mortgage was the most unprofessional and disrespectful bank agents I have ever seen. the first few encounters he seemed friendly. but he became very rude on the phone when I called him regarding a house we wanted to purchase on a holiday. this was part of his job to respond to clients on that holiday but he acted as if I was abusing him. in the last call that day he literally started yelling like a maniac and said I was using him and that I was wasting his time. in the end he said he would send me the letter but he didn't want to hear from me again and hung up. I was in shock how a bank agent treats customers like that. later I heard he is well known to be cranky but that definitely does not make the bank look good. I switched to a different bank the same day and found a very professional agent who helped me and we actually got a mortgage with a lower interest rate. make sure you shop around and think twice before choosing this bank for mortgage.,1,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
04/27/2019 14:35:35,Theresa Swift,"I have several accounts at this bank and have been shown tremendous courtesy and appreciation by everyone who works there, from tellers to the branch manager.  I received an immediate phone call from one of the managers when suspicious activity was detected on one of my accounts. I have contacted the bank regarding issues with the website which was dealt with quickly and efficiently.  I have nothing but positive things to say about this bank.",5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
01/13/2021 21:55:39,Neil Allan,Been a customer for over 20 years and NSB has always been extremely helpful and were competitive when I used them to finance a car. Their iPhone app works great as well.,5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
06/18/2022 13:39:09,Dylan Thomas,"Always happy dealing with NSB. Construction mortgage, refi, everyday checking etc have been good experiences.",5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
05/07/2019 18:22:53,Nabil Bouziane,Terrible customer service. Will never think of opening a account,1,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
04/16/2021 11:40:13,Anthony Prestera,,5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
06/27/2019 16:08:04,Don Zaleta,,5,Newtown Savings Bank - Newtown Office_ChIJeS-BfEL754kRp47FkrXFUa0.csv,Citizens Bank
03/12/2024 16:24:57,onemadone1,"All of the staff at the Fairfield County Bank Madison Ave., BridgePort are fantastic. I enjoy every time I walk into the bank and they handle all of my issues with the utmost of care. I highly recommend this bank to anyone looking for the small town bank experience.",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
12/23/2023 14:31:37,Steven Ferreira,Absolutely the best customer service. I look forward to see Veronica. She is truly the best. She take such pride with her clients. Love the Bridgeport branch.,5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
10/23/2023 22:30:45,Kellie Boland,"The customer service received was exceptional.  Veronica responded promptly and professionally to my inquiry and she went above and beyond to resolve my issue in a timely manner.
Overall experience, 5 star.",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
04/21/2023 19:09:35,Obiora Nkwo,"The personal banker Veronica was excellent and go above and beyond to assist me.
More importantly, she was very personable, professional, and always a pleasure to work with. She knows everyone by name and makes you feel welcomed.
I always look forward to going to my bank because they treat me like family. Awesome service with excellence and professionalism.",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
03/30/2023 03:10:19,Nana Cinnabun,"I opened an account here approximately a month ago, every single time I walk into the bank I'm greeted by my name.
Veronica herself greeted me by my full name. I must say, I'm pretty impressed.
It's wonderful knowing the staff at the bank knows your name it makes you feel welcomed, invited and cared for.

Veronica was an absolute joy to work with. She not only helped me open a money market account but also a checking account. She is always smiling and happy, I love that about her.
I appreciate all her efforts.

Showing me the ins and outs of how it all works.
I definitely recommend banking here.

Looking forward to speaking with Walter Romero who does their investments here at this branch.

I had opened an account with Webster Bank, they required a thousand dollar monthly balance in my checking account. So I decided to see what my jobs bank offers which is Fairfield County Bank, they only require a hundred dollars. So it's pretty self explanatory why I closed my Webster account and brought my money here to Fairfield County Bank.

I just want to say.. such a great experience over all.
Thank you to the all the Employees that put their time and attention into each customer that does their banking here.",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
04/27/2023 16:36:49,Racquel Foster,"The staff at Fairfield County back are personable, welcoming and engaging. You are always greeted with a warmth that is unmatched. You are always greeted by name. Banking with Fairfield County bank is a great experience that makes you feel valued and appreciated. Veronica is extremely jovial and enthusiastic and energetic when she ushers you through the door. This is the best bank to do business with. Hands down.",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
02/14/2023 16:41:26,Daniela Dzv,"Lovely branch and warm environment. Veronica and Patty is always welcoming with friendly smile and eager to help you. Staff members had always shown me kindness, respect, professionalism and a friendly smile. I can’t recommend them enough for all your banking needs, you wouldn’t be disappointed!",5,Fairfield County Bank_ChIJN71NwvQO6IkRPGdXa3ogiQo.csv,Ion Bank
