created_at,text,File Name,Bank Name,id,author_id,conversation_id
,"Big thanks to Ion Bank for hosting our Give Local video conversation! Stay tuned as we'll be releasing the video shortly.

Friendly reminder: April 8 is the registration deadline for Give Local. Don't miss out – register your organization today!

https://t.co/fmLJhw5HcL https://t.co/4GCHXufRNy","tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,"🧑‍🎓 Struggling with student loan debt? You can effectively manage your balance with the right approach. Check out our latest blog for essential tips on tackling student loan debt head-on! https://t.co/Owyo35pLqB

#studentloandebt #IonBank https://t.co/g6ZvHsyyjw","tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,Imma Educator ion bank with Chase..,"tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,"Thank you to the 52 parishioners who voted for St. Anthony Church in this year’s Community Awards Program through the Ion Bank Foundation. We have received $1,300.00! https://t.co/xmy4MT1v2w","tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,"📄 Old documents? Join us for a FREE Paper Shred Day on Saturday, April 20th! Bring up to 4 boxes to one of three branch locations to be destroyed by the professionals from Shred Smart. Consumers only, no businesses please.

#papershredday #IonBank https://t.co/tWjWfK7cQT","tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,"🐰 Happy Easter from Ion Bank! Wishing you and your loved ones joy, renewal and blessings. May your day be as bright and colorful as an Easter egg!

#easter #happyeaster #IonBank https://t.co/tm76XYgQTM","tweets_""Ion Bank"" OR #IonBank.csv",Ion Bank,,,
,"RT @thedailynu: The Evanston Reparations Committee is partnering with Liberty Bank, depositing $17 million into one of the largest Black-ow…","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"The Evanston Reparations Committee is partnering with Liberty Bank, depositing $17 million into one of the largest Black-owned banks in the U.S., it announced Thursday.
—
Reported by Olivia Mofus https://t.co/n5JFx0wVh5","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"Evanston Reparations Fund to be deposited in Black-owned Liberty Bank
https://t.co/TqVJnRlDdy https://t.co/cZz9ubMEZz","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,Evanston (IL) Reparations Fund to be deposited in Black-owned Liberty Bank https://t.co/6GRBCxMTif https://t.co/uVCKAn7BJU,"tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"If you thought that Georgian Liberty Bank is something problematic, so you never tried to use Spanish BBVA banking on a daily basis","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,Evanston #Reparations Fund to be deposited in Black-owned Liberty Bank - https://t.co/DjIoHv0TSu,"tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,Evanston Reparations Fund to be deposited in Black-owned Liberty Bank https://t.co/shsrAadloM,"tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"@BG_Liberty Bank Name: PalmPay Came across your captivating content on https://t.co/AsgcZMckpB. Your energy is electrifying, keep shining bright! Account Name: fausat adewunmi ayorinde Account No. 7032607871","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"Quite a scam pulled by South Africans.
Ashley Chapman Photography in cohorts with Liberty Bank in Florida.

ex brand manager of Ricks Cafe Americaine in Cape Town central run off with the owners money to America","tweets_""Liberty Bank"" OR #LibertyBank.csv",Liberty Bank,,,
,"@Circle_of_Games @TheFishverse @rohittiwari01 In TheFishverse have they already enabled the alternative that allows us to buy and sell crypto assets through the banking entities that we currently have? If so, users from which country will be able to make these purchases?",tweets_Banking Circle US.csv,Ion Bank,1.7755412214544753e+18,,
,"@Circle_of_Games @TheFishverse @rohittiwari01 In #Circle_of_Games have they already enabled the alternative that allows us to buy and sell crypto assets through the banking entities that we currently have? If so, users from which country will be able to make these purchases?",tweets_Banking Circle US.csv,Ion Bank,1.7753960241249364e+18,,
,"@stairwayto3dom Putin. 
In the US money is needed to run for office, and those that provide it want something in return. Then there is the question of who's actually making the policy. Is it the state dept?, the pentagon?, the faceless billionaires from banking &amp; wall St? the pres inner circle?",tweets_Banking Circle US.csv,Ion Bank,1.7742811269679598e+18,,
,RT @ancienttruelove: #Telcoin is raising US$30M for its pre-series A round (US$10M to capitalize #TelcoinBank) to Revolutionize Banking via…,tweets_Banking Circle US.csv,Ion Bank,1.7740958937985106e+18,,
,RT @ancienttruelove: #Telcoin is raising US$30M for its pre-series A round (US$10M to capitalize #TelcoinBank) to Revolutionize Banking via…,tweets_Banking Circle US.csv,Ion Bank,1.7740940194731666e+18,,
,RT @ancienttruelove: #Telcoin is raising US$30M for its pre-series A round (US$10M to capitalize #TelcoinBank) to Revolutionize Banking via…,tweets_Banking Circle US.csv,Ion Bank,1.7740893470142838e+18,,
