query,business_name,review_rating,review_text,review_photos,review_tags,datetime_utc,timestamp,review_id,author_title,author_friend_count,author_photo_count,author_reviews_count,author_location,author_image,author_id,author_url,owner_reply,owner_reply_title,owner_reply_datetime_utc,owner_reply_timestamp,next_page_cursor,page_name,Bank Name
https://www.yelp.com/biz/union-savings-bank-torrington-3?osq=Union Savings Bank,Union Savings Bank,1.0,If I could give them less I would.  Won't deposit endorsed checks without the person there. So don't expect any ease in your banking. Not worth having an account since you can't do the things you need to do.,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",07/07/2016 20:43:26,1467924206.0,Ly48VY8dc5fe5oOM_AL53g,L. C.,7.0,0.0,7.0,"Winsted, CT",,c22IZtbeY8DxhOgeTBD40A,https://www.yelp.com/user_details?userid=c22IZtbeY8DxhOgeTBD40A,,,,,,union-savings-bank-torrington-3_0.csv,Union Savings Bank
https://www.yelp.com/biz/torrington-savings-bank-burlington?osq=Torrington Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,torrington-savings-bank-burlington_4.csv,Torrington Savings Bank
https://www.yelp.com/biz/fairfield-county-bank-fairfield?osq=Fairfield County Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,fairfield-county-bank-fairfield_5.csv,Fairfield County Bank
https://www.yelp.com/biz/the-milford-bank-loan-production-office-new-haven-2?osq=Milford Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,the-milford-bank-loan-production-office-new-haven-2_1.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/dime-bank-stonington?osq=Dime Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,dime-bank-stonington_7.csv,Dime Bank
https://www.yelp.com/biz/chelsea-groton-bank-niantic?osq=Chelsea Groton Bank,Chelsea Groton Bank,5.0,The best bank!!!!! Have been a member for 20 plus years! I won't change unless they do!,[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",06/01/2023 17:20:01,1685640001.0,-eSJM-v3hl4JPaIpO0PGcQ,Lisa C.,6.0,0.0,35.0,"Groton, CT",,H7n5mxXWoSuHHNzM9TTE1A,https://www.yelp.com/user_details?userid=H7n5mxXWoSuHHNzM9TTE1A,"Thanks, Lisa! We're so happy we've been able to provide you with the great banking relationship we strive to give all of our customers. We look forward to working with you for many years to come.",Chelsea Groton Bank,06/08/2023 17:13:05,1686244385.0,,chelsea-groton-bank-niantic_2.csv,Chelsea Gronto Bank
https://www.yelp.com/biz/northwest-community-bank-avon?osq=Northwest Community Bank,Northwest Community Bank,5.0,"I've worked here for about 4 years during college.  The manager Kim Murphy is in my opinion the best community bank manager out there, or at least within CT. There are 7 offices of NWCB in Litchfield county, and we are under the umbrella of CMHC Connecticut Mutual Holding Company with 2 other community banks - Litchfield Bancorp and Collinsville Savings Society.  

Honestly, a 100% better experience than any commercial or competitor bank, we offer generally competitive and sometimes lower rates, less fees, one-on-one NO-FEE customer service with happy customers.  A much easier and hassle free way of managing personal, and business banking.  

The only pitfall is that we have local ATM's, and restricted locations! Great if you're settled down in the area, but we do accommodate to travel and have dedicated customers throughout the country.","['https://s3-media0.fl.yelpcdn.com/bphoto/jbtVhnC_jJ1DUpeqM5FPmQ/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/-E1oUmXHMo4f6RQfzcZmwQ/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/64uXvlX44YjJ_gj6SuGqtA/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/iZOT103Me1uvA5UoiRIB-g/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/jzSSDNYuKbZjt_c8jn6mBg/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/cX1PPe8mWIfcVpJWzKPrcg/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/m0q7qR0btEsm76jztjzgSg/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/sTEJMQGLdEEhpQcLlEbM1w/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/_WBYlfHsQmiTwnX1dOumcA/348s.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/2vi4vFd3H5G79YJdMnJrrQ/348s.jpg']","{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",06/27/2014 03:54:22,1403841262.0,qwm0d6uIjp3gAScC3B3v9g,Joe B.,588.0,5723.0,980.0,"Hartford, CT",https://s3-media0.fl.yelpcdn.com/photo/ZinEmwRHApQCRFFHHqUbSA/180s.jpg,Eaxw-hkE9NiMtrG5DQHpSw,https://www.yelp.com/user_details?userid=Eaxw-hkE9NiMtrG5DQHpSw,,,,,,northwest-community-bank-avon_0.csv,Northwest Community Bank
https://www.yelp.com/biz/newtown-savings-bank-newtown?osq=Newtown Savings Bank,,,,,,,,__NO_REVIEWS_FOUND__,,,,,,,,,,,,,,newtown-savings-bank-newtown_8.csv,Newtown Savings Bank
https://www.yelp.com/biz/bankwell-in-fairfield-fairfield-2?osq=Bankwell Bank,Bankwell in Fairfield,1.0,"This bank location has really poor customer service, stay away I certainly did.

I called on 6.23.17 and from the initial representative to the banker who did not even introduce himself or great me with a simple hello but instead he stated he would need to take a message and pass it on to another department. When I asked if I should call at a different time or another number he replied no he would just need to have someone call back,? I instead hung up on him.",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",06/23/2017 14:01:42,1498226502.0,D4wKSVgGK_8i5LsRI5VGhg,Tom L.,0.0,1.0,26.0,"Stamford, CT",https://s3-media0.fl.yelpcdn.com/photo/FVU58O7paShtDTfJvRJvrA/180s.jpg,uVPP4bMvuA-zCH5Ci-bfsg,https://www.yelp.com/user_details?userid=uVPP4bMvuA-zCH5Ci-bfsg,,,,,,bankwell-in-fairfield-fairfield-2_0.csv,Bankwell Bank
https://www.yelp.com/biz/bankwell-in-fairfield-fairfield-2?osq=Bankwell Bank,Bankwell in Fairfield,5.0,"I stopped at Bankwell bank this morning on my way up north and my experience was amazing. First of all I walked in and the man behind the counter was so energetic and so pleasant, I've never had a banking experience quite like that. He introduced me to another gentleman in the office and was very very patient and kind. He just seemed like he was happy about life and it put me a really good mood! I live about 20 minutes south from this particular branch but I will go out of my way to come here instead of going somewhere closer because of how friendly they were. If you want your day brightens a little bit go to this bank!",[],"{'helpful': 1, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",03/10/2018 23:36:13,1520724973.0,jeCUjGzb1tb3p-6cu3ZPKA,Jessica W.,87.0,0.0,59.0,"Ridgefield, CT",https://s3-media0.fl.yelpcdn.com/photo/BAurdxSO8PCoQpnC-0i_5A/180s.jpg,2F6ULyfrLAYV9MFQxFneIw,https://www.yelp.com/user_details?userid=2F6ULyfrLAYV9MFQxFneIw,,,,,,bankwell-in-fairfield-fairfield-2_0.csv,Bankwell Bank
